city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Spassk,RU,52.747,87.7545,36.39,36,0,12.59,clear sky
79,Port Alfred,ZA,-33.5906,26.891,68.04,54,100,11.25,overcast clouds
80,Riberalta,BO,-10.9833,-66.1,82.6,74,75,18.41,broken clouds
81,Hualmay,PE,-11.0964,-77.6139,68.81,73,10,8.72,clear sky
82,Elizabethton,US,36.3487,-82.2107,84.63,37,0,4.61,haze
83,Buchmany,UA,51.0689,28.0421,47.21,60,100,4.76,overcast clouds
84,Manicore,BR,-5.8092,-61.3003,89.55,62,96,4.61,overcast clouds
85,Bulata,PH,9.8599,122.4016,80.51,82,98,5.32,overcast clouds
86,Kashira,RU,54.8444,38.1669,44.28,81,100,17.02,light rain
87,Udachnyy,RU,66.4167,112.4,19.67,94,91,6.02,overcast clouds
88,Kiyasovo,RU,56.3491,53.1244,50.41,91,100,11.74,overcast clouds
89,Kruisfontein,ZA,-34.0033,24.7314,62.11,42,73,7.34,broken clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,55.42,77,100,8.99,light rain
91,Noshiro,JP,40.2039,140.0242,52.02,61,100,6.02,overcast clouds
92,Marquette,US,46.5333,-87.6335,72.84,92,100,1.72,overcast clouds
93,Kodiak,US,57.79,-152.4072,44.11,42,0,27.63,clear sky
94,Bredasdorp,ZA,-34.5322,20.0403,62.65,63,49,16.6,scattered clouds
95,Kavaratti,IN,10.5669,72.642,85.06,68,100,19.3,overcast clouds
96,Port Blair,IN,11.6667,92.75,80.64,89,75,2.3,mist
97,Bluff,NZ,-46.6,168.3333,45.9,85,12,11.68,few clouds
98,Hobart,AU,-42.8794,147.3294,46.06,86,0,5.75,clear sky
99,Luderitz,NA,-26.6481,15.1594,57.87,70,31,9.1,scattered clouds
100,Livingston,GB,55.9029,-3.5226,52.21,81,40,8.05,scattered clouds
101,Hidalgotitlan,MX,17.7833,-94.6333,84.22,25,16,18.77,few clouds
102,Menongue,AO,-14.6585,17.691,59.2,46,1,3.53,clear sky
103,Shepsi,RU,44.0361,39.1489,51.91,85,23,8.21,few clouds
104,Singaraja,ID,-8.112,115.0882,80.35,84,92,2.86,overcast clouds
105,Faanui,PF,-16.4833,-151.75,81.64,75,18,15.32,light rain
106,Chakwal,PK,32.9334,72.8585,86.23,21,4,1.79,clear sky
107,Kawambwa,ZM,-9.7915,29.0791,61.12,59,2,4.34,clear sky
108,Broken Hill,AU,-31.95,141.4333,53.31,94,100,16.11,moderate rain
109,Olafsvik,IS,64.8945,-23.7142,36.01,87,100,27.47,overcast clouds
110,Vaini,TO,-21.2,-175.2,77.16,73,40,4.61,scattered clouds
111,Kaitangata,NZ,-46.2817,169.8464,40.55,90,12,7.83,few clouds
112,Port Hardy,CA,50.6996,-127.4199,48.38,87,75,9.22,light intensity shower rain
113,Bousso,TD,10.4795,16.7117,94.55,31,69,4.18,broken clouds
114,Kapaa,US,22.0752,-159.319,79.12,80,100,14.97,overcast clouds
115,Nanortalik,GL,60.1432,-45.2371,36.64,86,73,8.9,broken clouds
116,Avarua,CK,-21.2078,-159.775,82.45,83,75,1.14,broken clouds
117,Tacuarembo,UY,-31.7333,-55.9833,61.83,86,92,2.53,overcast clouds
118,East London,ZA,-33.0153,27.9116,65.73,57,100,7.94,overcast clouds
119,Barrow,US,71.2906,-156.7887,24.82,80,100,9.22,overcast clouds
120,Albany,US,42.6001,-73.9662,75.87,25,0,1.01,clear sky
121,San Patricio,US,28.017,-97.5169,92.12,51,57,19.46,broken clouds
122,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,70,75,3.44,broken clouds
123,Matamoros,MX,25.5333,-103.25,96.91,9,40,10.36,scattered clouds
124,Chokurdakh,RU,70.6333,147.9167,15.35,95,100,10.11,overcast clouds
125,Puerto Leguizamo,CO,-0.1934,-74.7819,82.0,86,34,2.91,scattered clouds
126,Urumqi,CN,43.801,87.6005,63.55,24,0,4.47,clear sky
127,Kaabong,UG,3.4836,34.1492,69.3,59,16,6.08,few clouds
128,Westport,US,41.1415,-73.3579,74.32,42,5,5.99,clear sky
129,Pochutla,MX,15.7432,-96.4661,91.81,46,62,10.22,broken clouds
130,Thohoyandou,ZA,-22.9456,30.485,62.62,67,0,1.74,clear sky
131,Iskateley,RU,67.6803,53.1512,36.88,79,99,17.56,overcast clouds
132,Boende,CD,-0.2167,20.8667,73.15,96,100,2.37,light rain
133,Qaanaaq,GL,77.484,-69.3632,20.86,67,2,1.5,clear sky
134,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,0,8.05,clear sky
135,Karratha,AU,-20.7377,116.8463,72.18,28,63,10.94,broken clouds
136,Baganga,PH,7.5739,126.56,77.68,87,100,5.23,overcast clouds
137,Ermioni,GR,37.3869,23.2442,58.93,59,46,2.24,scattered clouds
138,Tiksi,RU,71.6872,128.8694,21.67,86,77,20.31,broken clouds
139,Saskylakh,RU,71.9167,114.0833,12.29,96,100,1.86,overcast clouds
140,Isangel,VU,-19.55,169.2667,75.18,75,9,15.95,clear sky
141,Kabrai,IN,25.4167,80.0167,93.6,27,0,8.7,clear sky
142,Barcelos,PT,41.5388,-8.6151,62.85,77,50,3.8,scattered clouds
143,Rudbar,AF,30.15,62.6,83.28,17,0,12.35,clear sky
144,Ornskoldsvik,SE,63.2909,18.7153,43.75,93,100,4.61,overcast clouds
145,Souillac,MU,-20.5167,57.5167,73.78,94,20,3.44,few clouds
146,Odesskoye,RU,54.2111,72.9651,57.85,31,100,16.67,overcast clouds
147,Gaogou,CN,34.0175,119.1886,56.16,94,92,5.48,overcast clouds
148,Sinop,TR,41.7711,34.8709,46.51,66,0,4.9,clear sky
149,Lethem,GY,3.3803,-59.7968,88.95,52,66,10.69,broken clouds
150,Bethel,US,41.3712,-73.414,73.63,33,20,12.66,few clouds
151,Sosnovskoye,RU,55.8052,43.167,43.59,95,100,17.65,moderate rain
152,Bor,RU,56.3567,44.0669,46.33,91,100,17.02,light rain
153,Lorengau,PG,-2.0226,147.2712,82.27,78,100,9.53,overcast clouds
154,Creel,MX,27.75,-107.6333,78.8,17,7,15.97,clear sky
155,Yar-Sale,RU,66.8333,70.8333,14.54,99,81,5.86,broken clouds
156,Avera,US,33.194,-82.5271,82.54,26,0,11.21,clear sky
157,Springdale,US,36.1867,-94.1288,85.5,78,100,17.27,overcast clouds
158,Tura,IN,25.5198,90.2201,70.3,98,58,5.28,broken clouds
159,Lavrentiya,RU,65.5833,-171.0,31.32,99,100,8.34,overcast clouds
160,Oranjemund,NA,-28.55,16.4333,53.96,84,74,2.3,broken clouds
161,Jambalo,CO,2.7923,-76.3226,63.72,84,80,0.87,broken clouds
162,Mahebourg,MU,-20.4081,57.7,76.24,94,20,3.44,few clouds
163,Puerto Narino,CO,-3.7703,-70.3831,84.04,79,52,2.71,broken clouds
164,Kedrovyy,RU,56.1667,91.8167,21.61,52,0,3.36,clear sky
165,Utica,US,43.1009,-75.2327,75.31,47,0,9.78,clear sky
166,Karpathos,GR,35.507,27.2132,62.56,82,0,8.05,clear sky
167,Auki,SB,-8.7676,160.7034,79.07,86,100,4.81,overcast clouds
168,Norman Wells,CA,65.282,-126.8329,46.44,31,75,8.05,broken clouds
169,Natchez,US,31.5604,-91.4032,94.44,38,0,3.44,clear sky
170,Dakoro,NE,14.5106,6.765,93.02,23,97,8.72,overcast clouds
171,Ternate,ID,0.8,127.4,80.62,84,100,8.21,overcast clouds
172,Gazanjyk,TM,39.2446,55.5154,67.78,39,94,6.96,overcast clouds
173,Harrisonville,US,38.6533,-94.3488,87.98,55,75,16.11,broken clouds
174,Atambua,ID,-9.1061,124.8925,70.61,84,48,3.56,scattered clouds
175,Ribeira Brava,PT,32.65,-17.0667,73.13,43,71,10.89,light rain
176,La Mesa,US,32.7678,-117.0231,75.04,50,0,12.66,clear sky
177,Chicama,PE,-7.8447,-79.1469,63.14,63,7,10.29,clear sky
178,Nemuro,JP,43.3236,145.575,42.42,70,0,3.06,clear sky
179,Aripuana,BR,-9.1667,-60.6333,85.96,63,94,1.74,overcast clouds
180,Camacupa,AO,-12.0167,17.4833,62.28,52,8,4.32,clear sky
181,Berlevag,NO,70.8578,29.0864,35.55,93,100,13.8,overcast clouds
182,Huaiyuan,CN,32.973,117.1995,55.67,94,53,5.23,broken clouds
183,Evensk,RU,61.95,159.2333,32.34,100,100,13.6,light snow
184,Tromso,NO,69.6496,18.957,38.37,93,75,10.36,broken clouds
185,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,100,0.0,overcast clouds
186,Tual,ID,-5.6667,132.75,84.27,75,98,12.06,overcast clouds
187,Upernavik,GL,72.7868,-56.1549,28.6,76,100,11.63,overcast clouds
188,Cherskiy,RU,68.75,161.3,20.53,88,25,8.46,scattered clouds
189,Okhotsk,RU,59.3833,143.3,31.86,99,100,10.13,snow
190,Gobabis,NA,-22.45,18.9667,64.22,23,0,9.98,clear sky
191,Provideniya,RU,64.3833,-173.3,33.06,97,100,5.77,overcast clouds
192,Raudeberg,NO,61.9875,5.1352,48.96,84,55,26.42,broken clouds
193,La Ronge,CA,55.1001,-105.2842,55.65,30,75,17.27,broken clouds
194,Rocha,UY,-34.4833,-54.3333,62.67,87,100,6.6,overcast clouds
195,Batagay-Alyta,RU,67.8006,130.4114,6.21,83,100,4.14,overcast clouds
196,Itarema,BR,-2.9248,-39.9167,76.68,88,100,8.5,overcast clouds
197,Inhambane,MZ,-23.865,35.3833,67.33,86,0,6.46,clear sky
198,Deputatskiy,RU,69.3,139.9,1.4,93,16,4.7,few clouds
199,Birao,CF,10.2849,22.7882,92.28,16,95,2.66,overcast clouds
200,Bellevue,US,47.6104,-122.2007,59.43,57,75,11.5,broken clouds
201,Guerrero Negro,MX,27.9769,-114.0611,68.13,53,0,20.45,clear sky
202,Safaga,EG,26.7292,33.9365,80.64,33,0,7.87,clear sky
203,Saint-Gabriel,CA,46.3001,-73.3824,74.41,32,28,7.56,scattered clouds
204,Farrukhnagar,IN,17.0778,78.2011,83.91,49,100,5.99,overcast clouds
205,Pervomayskiy,RU,53.2485,40.2871,37.4,97,100,11.18,light rain
206,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.84,78,99,5.99,overcast clouds
207,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,8.05,broken clouds
208,Tilichiki,RU,60.4667,166.1,30.47,99,100,0.25,overcast clouds
209,Priladozhskiy,RU,59.85,31.4833,42.53,1,89,5.64,overcast clouds
210,Manta,EC,-0.95,-80.7333,76.78,78,100,12.66,overcast clouds
211,Saint George,US,37.1041,-113.5841,71.8,9,0,10.36,clear sky
212,Puerto Escondido,MX,15.85,-97.0667,88.63,62,40,5.75,scattered clouds
213,Ayan,RU,56.45,138.1667,32.79,95,100,5.64,overcast clouds
214,Yumen,CN,40.2833,97.2,59.2,29,6,10.27,clear sky
215,Sheridan,US,44.8333,-106.9173,65.32,21,0,11.5,clear sky
216,Ilulissat,GL,69.2167,-51.1,26.62,63,40,10.36,scattered clouds
217,Vao,NC,-22.6667,167.4833,73.06,68,49,20.67,scattered clouds
218,Santa Rosa,PH,14.3122,121.1114,83.08,74,94,7.05,overcast clouds
219,Kenai,US,60.5544,-151.2583,49.03,33,0,23.02,clear sky
220,Katangli,RU,51.7102,143.2326,29.89,95,59,8.97,broken clouds
221,Sembe,CG,1.6481,14.5806,76.05,84,39,3.33,scattered clouds
222,Carahue,CL,-38.7,-73.1667,60.73,42,53,3.02,broken clouds
223,Victoria,HK,22.2855,114.1577,80.33,94,100,3.0,heavy intensity rain
224,Pinillos,CO,8.9193,-74.4677,80.89,82,100,2.15,overcast clouds
225,Greenville,US,35.6127,-77.3663,68.16,54,100,14.97,overcast clouds
226,Lebu,CL,-37.6167,-73.65,54.93,65,100,11.68,overcast clouds
227,Soyo,AO,-6.1349,12.3689,78.03,89,56,7.47,broken clouds
228,Tazovskiy,RU,67.4667,78.7,12.97,97,11,4.63,few clouds
229,Jambi,ID,-1.6,103.6167,72.66,97,100,6.13,moderate rain
230,Yangjiang,CN,21.85,111.9667,74.41,94,39,2.82,heavy intensity rain
231,Macouria,GF,4.9167,-52.3667,82.98,7,75,9.22,broken clouds
232,Suntar,RU,62.1444,117.6319,26.56,95,30,3.62,scattered clouds
233,Praia,CV,14.9215,-23.5087,75.74,69,0,13.8,clear sky
234,Bethanien,NA,-26.502,17.1583,61.75,22,100,5.91,overcast clouds
235,Bongued,PH,7.1167,124.4,74.97,98,100,2.19,overcast clouds
236,Salinas,US,36.6777,-121.6555,61.99,47,0,12.66,clear sky
237,Srandakan,ID,-7.9386,110.2506,78.53,91,65,3.98,broken clouds
238,Broome,US,42.2506,-75.833,75.79,25,0,5.75,clear sky
239,Sao Filipe,CV,14.8961,-24.4956,72.5,83,12,8.95,few clouds
240,Mirnyy,RU,62.5353,113.9611,33.24,47,75,7.0,broken clouds
241,Manubul,PH,5.4732,120.7986,82.15,79,100,11.01,overcast clouds
242,Kismayo,SO,-0.3582,42.5454,81.28,82,17,13.0,few clouds
243,Luwuk,ID,-0.9516,122.7875,77.52,86,100,2.26,light rain
244,Riachao,BR,-7.3619,-46.6172,81.77,57,95,3.42,overcast clouds
245,La Union,PE,-5.4,-80.75,83.62,45,30,12.62,scattered clouds
246,Marathon,US,44.9,-89.7668,80.13,64,100,6.91,overcast clouds
247,Paamiut,GL,61.994,-49.6678,34.11,91,100,9.57,overcast clouds
248,Severo-Kurilsk,RU,50.6789,156.125,35.01,93,99,4.97,overcast clouds
249,Altamont,US,42.2068,-121.7372,44.89,62,75,10.36,broken clouds
250,Mahibadhoo,MV,3.7833,72.9667,84.04,77,78,19.77,broken clouds
251,Qaqortoq,GL,60.7167,-46.0333,37.22,84,90,5.21,overcast clouds
252,Abbeville,FR,50.1,1.8333,59.49,94,100,5.1,overcast clouds
253,Nurota,UZ,40.5614,65.6886,63.84,40,0,5.79,clear sky
254,Vanimo,PG,-2.6741,141.3028,78.28,91,71,5.77,broken clouds
255,Bluffton,US,32.2371,-80.8604,84.22,38,0,13.8,clear sky
256,Hami,CN,42.8,93.45,64.49,10,81,12.28,broken clouds
257,Husavik,IS,66.0449,-17.3389,33.06,97,100,14.25,snow
258,Xiantao,CN,30.3833,113.4,60.55,84,82,5.37,broken clouds
259,Morondava,MG,-20.2833,44.2833,73.67,71,0,11.86,clear sky
260,Pisco,PE,-13.7,-76.2167,66.25,82,100,4.61,mist
261,Toyooka,JP,35.5333,134.8333,59.54,89,100,5.55,light rain
262,Paraiso,CR,9.8383,-83.8656,77.86,69,93,3.13,overcast clouds
263,Letterkenny,IE,54.95,-7.7333,49.5,75,3,15.68,clear sky
264,Esperance,AU,-33.8667,121.9,64.24,38,6,14.5,clear sky
265,Rochester,US,43.1548,-77.6156,76.64,35,40,6.91,scattered clouds
266,Naze,JP,28.3667,129.4833,67.12,75,93,4.97,overcast clouds
267,Dombarovskiy,RU,50.7587,59.5386,48.31,83,100,20.42,light rain
268,Caboolture,AU,-27.0833,152.95,72.05,96,100,12.41,moderate rain
