City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Victoria,HK,80.33,heavy intensity rain,22.2855,114.1577,Mini Central
224,Pinillos,CO,80.89,overcast clouds,8.9193,-74.4677,HOTEL CASA BLANCA
227,Soyo,AO,78.03,broken clouds,-6.1349,12.3689,Hotel Mpampa
231,Macouria,GF,82.98,broken clouds,4.9167,-52.3667,Hôtel Le Dronmi
233,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
237,Srandakan,ID,78.53,broken clouds,-7.9386,110.2506,Puri Brata
238,Broome,US,75.79,clear sky,42.2506,-75.833,Chenango Valley State Park
241,Manubul,PH,82.15,overcast clouds,5.4732,120.7986,
242,Kismayo,SO,81.28,few clouds,-0.3582,42.5454,Agan-Hotel
243,Luwuk,ID,77.52,light rain,-0.9516,122.7875,Hotel Santika Luwuk
244,Riachao,BR,81.77,overcast clouds,-7.3619,-46.6172,Pousada Nordestina
245,La Union,PE,83.62,scattered clouds,-5.4,-80.75,Los Portales
246,Marathon,US,80.13,overcast clouds,44.9,-89.7668,
250,Mahibadhoo,MV,84.04,broken clouds,3.7833,72.9667,Omadhoo Inn
254,Vanimo,PG,78.28,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
255,Bluffton,US,84.22,clear sky,32.2371,-80.8604,Holiday Inn Express & Suites Bluffton @ Hilton Head Area
262,Paraiso,CR,77.86,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
265,Rochester,US,76.64,scattered clouds,43.1548,-77.6156,Hyatt Regency Rochester
269,Dingle,PH,77.27,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
274,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
275,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
276,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
279,Pell City,US,87.73,clear sky,33.5862,-86.2861,Hampton Inn Pell City
280,Omalur,IN,81.19,overcast clouds,11.741,78.0456,Vasantha Bavan
281,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
285,Buala,SB,81.41,light rain,-8.145,159.5921,Maringe Lagoon Lodge
291,Kavieng,PG,82.81,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
292,Glens Falls,US,76.98,clear sky,43.3095,-73.644,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
293,Anloga,GH,82.94,overcast clouds,5.7947,0.8973,Pin Drop Hotel
300,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
301,Srivardhan,IN,81.84,light rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
302,Micheweni,TZ,78.94,light rain,-4.9667,39.8333,
311,Gaya,IN,85.37,clear sky,24.7833,85.0,Hotel Viraat Inn Gaya
313,Cockburn Town,TC,80.55,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
315,Panji,ID,75.61,overcast clouds,-7.7253,114.0995,Rumah eni
325,Urubicha,BO,80.8,overcast clouds,-15.3833,-62.95,
327,Mazagao,BR,77.05,light rain,-0.115,-51.2894,Recanto dos Ferreiras
336,Olivenca,BR,75.31,overcast clouds,-9.5186,-37.1906,
340,Sinnamary,GF,78.82,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
345,Axim,GH,80.8,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
348,Big Spring,US,88.25,scattered clouds,32.2504,-101.4787,Hampton Inn & Suites Big Spring
355,Takoradi,GH,81.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
357,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
358,Sunrise Manor,US,76.89,few clouds,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
359,Ugoofaaru,MV,83.75,overcast clouds,5.6667,73.0,Ungoofaaru Inn
363,Inongo,CD,76.82,light rain,-1.95,18.2667,Hotel Du Lac
366,Qui Nhon,VN,77.79,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
367,Acarau,BR,77.23,overcast clouds,-2.8856,-40.12,castelo pizzaria
372,Kalmunai,LK,80.2,overcast clouds,7.4167,81.8167,VS Villa
