city_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Chimore,BO,2022-05-09 00:39:01,-16.9833,-65.1333,73.78,73,95,2.59
89,Peniche,PT,2022-05-09 00:36:13,39.3558,-9.3811,60.08,93,8,9.55
90,Namibe,AO,2022-05-09 00:29:19,-15.1961,12.1522,73.11,59,0,8.9
91,Chakradharpur,IN,2022-05-09 00:39:01,22.7,85.6333,80.76,68,3,3.11
92,Xuanzhou,CN,2022-05-09 00:39:02,30.9525,118.7553,65.53,68,100,14.41
93,Aklavik,CA,2022-05-09 00:32:09,68.2191,-135.0107,45.19,66,14,6.85
94,Salamiyah,SY,2022-05-09 00:39:02,35.0113,37.0532,56.32,55,10,4.05
95,Yar-Sale,RU,2022-05-09 00:39:04,66.8333,70.8333,35.8,100,100,11.27
96,Coihaique,CL,2022-05-09 00:36:06,-45.5752,-72.0662,45.21,70,75,3.44
97,Urumqi,CN,2022-05-09 00:36:11,43.801,87.6005,52.75,35,0,4.47
98,Severo-Kurilsk,RU,2022-05-09 00:39:05,50.6789,156.125,38.35,97,100,15.03
99,Hobyo,SO,2022-05-09 00:39:05,5.3505,48.5268,83.37,77,100,14.79
100,Waipawa,NZ,2022-05-09 00:39:05,-41.4122,175.5153,60.71,78,100,11.7
101,Sao Filipe,CV,2022-05-09 00:39:06,14.8961,-24.4956,71.47,79,2,7.65
102,Georgetown,MY,2022-05-09 00:35:15,5.4112,100.3354,82.33,93,20,2.3
103,Asfi,MA,2022-05-09 00:39:06,32.2994,-9.2372,66.85,62,10,10.85
104,Carnarvon,AU,2022-05-09 00:39:07,-24.8667,113.6333,64.47,88,36,6.91
105,Lazaro Cardenas,MX,2022-05-09 00:34:14,17.9583,-102.2,78.87,67,1,7.38
106,Royan,FR,2022-05-09 00:39:08,45.6285,-1.0281,56.48,84,0,7.34
107,Bonoua,CI,2022-05-09 00:39:08,5.2741,-3.595,80.22,90,84,4.81
108,La Paz,BO,2022-05-09 00:38:00,-16.5,-68.15,42.78,93,20,6.91
109,Bodden Town,KY,2022-05-09 00:36:49,19.2833,-81.25,84.0,76,20,5.99
110,Bathsheba,BB,2022-05-09 00:29:33,13.2167,-59.5167,81.21,78,20,16.11
111,Margate,GB,2022-05-09 00:39:09,51.3813,1.3862,48.31,86,1,1.99
112,Nikolskoye,RU,2022-05-09 00:39:10,59.7035,30.7861,36.79,85,0,5.23
113,Barrow,US,2022-05-09 00:39:10,71.2906,-156.7887,32.02,80,0,11.5
114,Cidreira,BR,2022-05-09 00:29:19,-30.1811,-50.2056,66.7,78,0,13.09
